section,in_resume,title,institution,loc,start,end,description_1,description_2,description_3
education,TRUE,MTESOL,Arizona State University,"Tempe, AZ",2016,2017,Teaching English to Speakers of Other Languages,NA,NA
education,TRUE,B.A. Political Science and International Studies,Iowa State University,"Ames, Iowa",2002,2006,"Political Science, International Studies",Minors in Spanish and Chinese Studies,NA
research_positions,FALSE,Research Assistant,Adair Laboratory,University of Vermont,2012,2013,Independently analyzed and constructed statistical models for large data sets pertaining to carbon decomposition rates.,NA,NA
research_positions,FALSE,Undergraduate Researcher,Bentil Laboratory,University of Vermont,2013,2014,Developed mathematical model to predict the transport of sulfur through the environment with applications in waste cleanup.,NA,NA
research_positions,FALSE,Undergraduate Researcher,Rubenstein Ecosystems Science Laboratory,University of Vermont,2013,2015,Analyzed and visualized data for CATOS fish tracking project.,Head of data mining project to establish temporal trends in population densities of Mysis diluviana (Mysis).,Ran project to mathematically model the migration patterns of Mysis (honors thesis project.)
research_positions,FALSE,Human Computer Interaction Researcher,LabInTheWild (Reineke Lab),University of Michigan,2015,2015,Led development and implementation of interactive data visualizations to help users compare themselves to other demographics.,NA,NA
research_positions,FALSE,Graduate Research Assistant,TBILab (Yaomin Xu's Lab),Vanderbilt University,2015,2020,Primarily working with large EHR and Biobank datasets.,Developing network-based methods to investigate and visualize clinically relevant patterns in data.,NA
research_positions,FALSE,Data Science Researcher,Data Science Lab,Johns Hopkins University,2017,2018,Building R Shiny applications in the contexts of wearables and statistics education.,Work primarily done in R Shiny and Javascript (node and d3js).,NA
industry_positions,TRUE,International Student Retention Coordinator,Arizona State University,"Tempe, AZ",2022,2023,Analyze student engagement and programming to increase retention among first year international students,NA,NA
industry_positions,TRUE,Blended Learning and Assessment Coordinator,Mesa Public Schools,"Mesa, AZ",2019,2022,Coordinate assessment testing,Assist teachers with blended learning,NA
industry_positions,TRUE,ELAA Instructtor,Rio Salado College,"Phoenix, AZ",2017,2019,Taught English as a Second Language and Computer Skills to adults,NA,NA
industry_positions,TRUE,Adjunct Instructional Assistant,Grand Canyon University,"Phoenix, AZ",2015,2015,Assisted professor with in-class activities,Acted as resource through private office hours,Monitored student participation and progress
industry_positions,TRUE,Blended Learning and Assessment Coordinator,Mesa Public Schools,"Mesa, AZ",2019,2022,Coordinate assessment testing,Assist teachers with blended learning,NA
industry_positions,TRUE,Native English Teacher,Beijing BISS International School,"Beijing, CHINA",2012,2014,Co-planned and Co-taught with Chinese partner,Coached Chinese partners of values of Communicative Approach to language learning,NA
industry_positions,TRUE,Foreign Teacher,Wall Street English,"Beijing, CHINA",2009,2012,Developed new curriculum and implemented,Planned educational social activities,Evaluated learner progress
